模型,準確率,精確率,召回率,F1分數,訓練時間(秒),交叉驗證準確率
Gradient Boosting,0.7470118113020723,0.728414442700157,0.787664450417315,0.7568816692720723,28.834182262420654,0.7483775838188234
XGBoost,0.7456680104675012,0.725139375081032,0.791201018531617,0.7567311595183331,1.7642195224761963,0.7485544200418033
Logistic Regression,0.7441827569135017,0.7328028055031023,0.7685669826000848,0.7502589242560243,1.0568599700927734,0.7475641475114676
Random Forest,0.7302496640497913,0.7145682267633487,0.766727967180648,0.7397297666166235,6.350247859954834,0.7303767691380604
