模型,準確率,精確率,召回率,F1分數
Gradient Boosting,0.7492043284532145,0.7303517719367072,0.7900693167350403,0.7590377820059799
SVM,0.747719074899215,0.721309403437816,0.8073277691328336,0.7618984046458848
XGBoost,0.7472239903812151,0.7299644690090802,0.7846937332013014,0.7563403326970275
Logistic Regression,0.7427682297192163,0.7328358208955223,0.7640401754137784,0.7481127501904564
Random Forest,0.7313812858052197,0.7168235450086172,0.764888951761211,0.7400766493293184
